one_week_perf,one_month_perf,three_month_perf,six_month_perf,one_year_perf,bull_bear_signal,technical_rating,ad_trend,avg_volume_6_days,avg_volume_9_days,avg_volume_12_days,avg_volume_15_days,avg_volume_30_days,q1,q2,q3,q4,capital_fund_to_rwa,npl_to_total_loan,return_on_equity,total_loan_loss_provision_to_npl,symbol,market_cap,stock_bonus,eps_ttm,roa_ttm,roe_ttm,pr_ratio
-0.46,-1.41,-9.04,-3.49,24.94,-,SL,Distribution,15302.0,15995.0,16564.0,16339.0,16717.0,5.59%,5.24%,4.22%,20.90%,,,,,GVL (Green Ventures Limited),16828125000.0,,23.95,0.02,0.06,22.49
-0.4,1.12,-7.56,-11.47,44.35,-,-,Distribution,123936.0,126858.0,124053.0,133376.0,122787.0,-9.10%,-2.68%,-17.15%,-0.08%,,,,,HDHPC (Himal Dolakha Hydropower Company Limited),5577600000.0,,-2.6,0.02,,-76.62
-0.51,3.97,16.81,22.17,74.94,-,BY,Accumulation,39064.0,36940.0,40516.0,39890.0,47477.0,-13.70%,-10.24%,23.70%,59.66%,,,,,HHL (Himalayan Hydropower Limited),6421080000.0,,10.05,0.02,0.05,58.38
-0.84,-1.32,13.81,18.22,89.43,-,BY,Distribution,10479.0,10730.0,10450.0,11784.0,15771.0,15.04%,-1.13%,29.84%,14.53%,,,,,AHL (Asian Hydropower Limited),2801600824.0,,-6.16,-0.03,-0.13,-133.81
-0.83,3.2,-4.55,-10.44,-9.24,-,BY,Distribution,162919.0,159111.0,169130.0,177883.0,156237.0,5.10%,-6.51%,2.46%,25.55%,,,,,AKJCL (Ankhu Khola Jalvidhyut Company Ltd.),3710174581.6,,1.87,-0.01,-0.01,108.93
-3.75,8.46,37.85,53.25,118.52,-,BY,No Change,176897.0,226109.0,214980.0,232994.0,268621.0,8.70%,-8.73%,-7.06%,9.65%,,,,,HPPL (Himalayan Power Partner Ltd.),6285960300.0,,18.26,-0.0,-0.02,32.31
-0.63,7.39,-3.16,2.99,-16.23,-,BY,Distribution,200747.0,203913.0,240386.0,335560.0,255585.0,10.40%,-11.82%,0.73%,15.10%,,,,,HURJA (Himalaya Urja Bikas Company Limited),4975740000.0,,6.94,0.0,0.01,36.21
-4.38,-3.53,22.42,24.39,113.09,-,BY,Distribution,38089.0,41252.0,39215.0,41700.0,49084.0,28.89%,-2.93%,35.28%,50.85%,,,,,IHL (Ingwa Hydropower Limited),4590000000.0,,-1.0,-0.0,-0.01,-765.94
-2.12,1.72,20.32,27.3,4.53,-,-,Distribution,58151.0,60014.0,64670.0,110030.0,93291.0,,,,,,,,,JOSHI (Joshi Hydropower Development Company Ltd),1541310000.0,,-4.05,-0.09,,-102.37
-1.92,7.37,-4.33,30.43,169.31,-,BY,Distribution,3270.0,2509.0,2093.0,1915.0,1606.0,17.93%,1.69%,93.59%,26.69%,,,,,KBSH (Kutheli Bukhari Small Hydropower Limited),3229488750.0,,14.52,0.06,0.08,182.53
