share_float,latesttransactionprice,volume,beta_yearly,support_zone_lower,support_zone_upper,resistance_zone_lower,resistance_zone_upper,macd_signal,rsi_signal,bb_signal,fib_signal,fib_range,supertrend_signal,ema_signal,sar_signal,market_trend,trade_signal,market_sentiment,ma_signal,trend_confirmation,obv_price_divergence,obv_breakout,daily_volatility_rs,weekly_volatility_rs,monthly_volatility_rs,return_on_equity,market_cap,avg_volume_3_days,week_52_high,week_52_low,divident_yeild,eps_ttm,roa_ttm,roe_ttm,pr_ratio,symbol,sector,total_listed_shares,promoter_shares,public_shares,power_value,promotor_holding_pot,public_holding_pot,paid_up_capital
40219036.04,749.0,26767,1.39,733.0,743.0,755.8,765.8,-,-,-,-,< 23.6%,BY,SL,-,BEAR,S SL,BEAR,SL,CONF,None,NO,66.63,134.43,302.44,,61477669085.0,56101.0,1060.0,566.0,2.81,11.41,0.0,0.05,65.66,NLIC,LIFEINSU,82079665,41860628.96,40219036.04,100.0,51.0,49.0,4021903604.0
18242465.74,616.9,27378,0.58,590.7,600.7,610.0,620.0,-,-,-,-,< 23.6%,S SL,BY,-,BULL,S BY,S BULL,BY,CONF,None,NO,44.99,87.86,177.17,,32153649093.9,31238.0,776.1,521.3,2.35,10.71,0.0,0.06,57.59,NLICL,LIFEINSU,52121331,33878865.26,18242465.74,100.0,65.0,35.0,1824246574.0
7244344.8,584.0,29332,2.96,570.0,580.0,603.0,613.0,-,-,-,-,< 38.2%,BY,BY,-,BULL,S BY,BEAR,BY,CONF,None,NO,15.63,36.91,66.72,,27597504000.0,72701.0,732.2,473.0,1.77,7.73,0.02,0.07,75.57,PMLI,LIFEINSU,47256000,40011655.2,7244344.8,100.0,84.67,15.33,724434480.0
13920000.0,556.0,35589,,551.0,561.0,573.0,583.0,-,-,-,-,> 61.8%,BY,BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,10.65,24.73,60.45,,25798400000.0,142772.0,600.1,410.0,3.03,15.1,0.03,0.07,36.81,RNLI,LIFEINSU,46400000,32480000.0,13920000.0,100.0,70.0,30.0,1392000000.0
24558544.21,468.3,31152,1.41,442.1,452.1,470.0,480.0,-,-,-,-,< 23.6%,BY,BY,-,BEAR,S SL,-,BY,CONF,None,NO,18.42,39.38,90.15,,23470951547.4,76711.0,644.0,395.1,7.47,7.83,0.01,0.05,59.83,SJLIC,LIFEINSU,50119478,25560933.79,24558544.21,100.0,51.0,49.0,2455854421.0
11884800.0,728.3,151286,,670.5,680.5,719.0,729.0,-,SL,SL,-,> 61.8%,BY,BY,-,BULL,S BY,S BULL,S BY,CONF,None,Breakout Up,13.59,28.08,70.25,,28852332800.0,145713.0,724.0,447.2,3.44,14.25,0.04,0.08,51.11,SNLI,LIFEINSU,39616000,27731200.0,11884800.0,100.0,70.0,30.0,1188480000.0
24270019.6,445.1,81130,2.88,426.0,436.0,475.0,485.0,-,-,-,-,< 23.6%,BY,BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,13.68,31.27,55.26,,22046093205.2,210799.0,654.0,412.1,,9.36,0.02,0.07,47.58,SRLI,LIFEINSU,49530652,25260632.4,24270019.6,100.0,51.0,49.0,2427001960.0
418967.64,5510,1693,0.9,5525.0,5535.0,5809.0,5819.0,-,-,-,-,< 50%,BY,SL,-,BEAR,S SL,BEAR,BY,CONF,None,NO,115.84,156.15,337.71,,2707614000,1360.0,7247,3525,BBC,TRADING,491400,72432.36,418967.64,100.0,14.74,85.26,41896764,,,,,
2525325.31,5465,1726,0.4,5382.9,5392.9,5660.0,5670.0,-,-,-,-,< 38.2%,BY,BY,-,BULL,S BY,S BEAR,BY,CONF,None,NO,172.89,233.02,509.22,,17527184050,4625.0,7000,4210,STC,TRADING,3207170,681844.69,2525325.31,100.0,21.26,78.74,252532531,0.29,22.05,0.01,0.04,247.79
3561696.96,636.0,18559,0.76,622.0,632.0,668.0,678.0,-,-,-,-,< 50%,S SL,SL,-,BEAR,S SL,BEAR,SL,CONF,None,NO,13.15,18.53,48.39,,5663097912.0,45409.0,,,3.14,-3.88,-0.0,-0.02,-164.03,BFC,FINANCE,8904242,5342545.04,3561696.96,100.0,60.0,40.0,356169696.0
4626716.74,655.2,162413,0.67,588.0,598.0,646.0,656.0,-,-,-,-,< 61.8%,S SL,BY,-,BULL,S BY,BULL,S BY,CONF,None,Breakout Up,14.4,25.21,54.21,,6217032276.0,88806.0,820.0,318.0,0.76,0.74,-0.0,-0.01,890.58,CFCL,FINANCE,9488755,4862038.26,4626716.74,100.0,51.24,48.76,462671674.0
4635964.48,735.0,25891,1.52,731.1,741.1,778.0,788.0,-,-,-,-,< 23.6%,BY,SL,-,BEAR,S SL,BEAR,SL,CONF,None,NO,19.59,34.77,77.32,,6953946720.0,36379.0,1353.0,419.0,1.77,2.22,0.01,0.08,331.47,GFCL,FINANCE,9461152,4825187.52,4635964.48,100.0,51.0,49.0,463596448.0
4824030.82,543.2,7571,1.1,536.0,546.0,577.4,587.4,-,-,-,-,< 50%,S SL,BY,-,BULL,S BY,BEAR,BY,CONF,None,NO,13.9,23.15,57.41,,5498140032.0,33771.0,759.0,333.0,1.26,-4.32,0.01,0.04,-125.64,GMFIL,FINANCE,10121760,5297729.18,4824030.82,100.0,52.34,47.66,482403082.0
4253169.62,642.0,12557,1.72,623.0,633.0,664.0,674.0,-,-,-,-,< 23.6%,BY,SL,-,BULL,S BY,BEAR,SL,CONF,None,NO,18.26,30.73,67.11,,5572520196.0,29366.0,1041.0,548.0,1.15,-0.6,-0.0,-0.01,-1072.14,GUFL,FINANCE,8679938,4426768.38,4253169.62,100.0,51.0,49.0,425316962.0
5799007.7,652.0,12739,1.03,645.1,655.1,675.0,685.0,-,-,-,-,< 38.2%,BY,SL,-,BEAR,S SL,BEAR,SL,CONF,None,NO,23.51,46.88,101.13,,7716230920.0,21774.0,910.0,462.0,1.0,18.44,0.01,0.09,35.35,ICFC,FINANCE,11834710,6035702.3,5799007.7,100.0,51.0,49.0,579900770.0
3383316.92,547.0,29891,0.71,532.0,542.0,590.0,600.0,-,-,-,-,< 23.6%,S SL,S SL,-,BULL,S BY,BEAR,SL,CONF,None,NO,15.94,29.09,65.74,,3776886216.0,61932.0,1083.3,350.0,2.89,-71.91,-0.06,-0.88,-7.61,JFL,FINANCE,6904728,3521411.08,3383316.92,100.0,51.0,49.0,338331692.0
6622606.82,639.5,16039,1.41,625.0,635.0,653.9,663.9,-,-,-,-,< 23.6%,BY,SL,-,BEAR,S SL,S BEAR,SL,CONF,None,NO,16.09,32.52,68.1,,8643177598.0,28598.0,917.0,480.2,0.82,17.33,0.01,0.12,36.91,MFIL,FINANCE,13515524,6892917.18,6622606.82,100.0,51.0,49.0,662260682.0
2989980.0,700.7,14290,0.78,700.0,710.0,733.9,743.9,-,-,-,-,< 61.8%,S SL,BY,-,BULL,S BY,BEAR,BY,CONF,None,NO,12.73,21.24,48.28,,4275671400.0,31663.0,936.9,328.0,1.95,6.57,0.01,0.04,106.69,MPFL,FINANCE,6102000,3112020.0,2989980.0,100.0,51.0,49.0,298998000.0
2918008.0,776.9,31167,1.17,772.0,782.0,825.0,835.0,-,-,-,-,< 23.6%,S SL,S SL,-,BULL,S BY,BEAR,SL,CONF,None,NO,30.94,42.64,107.29,,5667501038.0,62607.0,2614.9,331.0,2.98,5.62,0.01,0.04,138.28,NFS,FINANCE,7295020,4377012.0,2918008.0,100.0,60.0,40.0,291800800.0
4330226.4,454.0,30305,1.49,444.0,454.0,484.0,494.0,-,-,-,-,< 23.6%,BY,SL,-,BULL,S BY,BEAR,SL,CONF,None,NO,17.39,29.56,62.66,,4914806964.0,87733.0,795.0,339.9,0.93,-117.86,-0.06,-0.66,-3.85,PFL,FINANCE,10825566,6495339.6,4330226.4,100.0,60.0,40.0,433022640.0
4155719.4,604.0,24123,0.62,590.0,600.0,640.5,650.5,-,-,-,-,< 50%,BY,BY,-,BULL,S BY,S BEAR,BY,CONF,None,NO,11.84,19.34,45.22,,5122560240.0,58682.0,865.0,295.0,1.05,20.13,0.02,0.28,30.01,PROFL,FINANCE,8481060,4325340.6,4155719.4,100.0,51.0,49.0,415571940.0
5495113.72,626.0,73642,2.28,602.6,612.6,683.0,693.0,-,-,-,S BY,< 50%,S SL,S BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,11.84,23.61,50.76,,7020288268.0,173636.0,838.0,339.0,1.09,-21.35,-0.0,-0.03,-29.31,RLFL,FINANCE,11214518,5719404.28,5495113.72,100.0,51.0,49.0,549511372.0
3327237.42,602.4,31426,1.9,584.0,594.0,626.0,636.0,-,-,-,BY,< 23.6%,BY,SL,-,BULL,S BY,BEAR,SL,CONF,None,NO,17.87,28.19,64.64,,4933122876.0,43272.0,1117.9,293.0,,-15.34,-0.05,-0.27,-39.26,SFCL,FINANCE,8189115,4861877.58,3327237.42,100.0,59.37,40.63,332723742.0
4810249.01,577.0,11370,1.3,555.6,565.6,599.0,609.0,-,-,-,-,< 50%,S SL,BY,-,BULL,S BY,BEAR,BY,CONF,None,NO,14.21,25.53,63.97,,5664313795.0,29761.0,795.0,336.2,0.88,2.83,0.01,0.04,203.74,SIFC,FINANCE,9816835,5006585.99,4810249.01,100.0,51.0,49.0,481024901.0
179687.38,17800.0,80,0.51,15675.0,15685.0,18545.0,18555.0,-,-,-,S SL,> 61.8%,BY,BY,-,BEAR,S SL,S BULL,S BY,CONF,None,NO,615.41,445.62,1210.93,,34690188600,294.0,23765.6,14900.0,0.11,-251.47,0.02,0.05,-70.78,BNL,MANUFACTURE,1948887,1769199.62,179687.38,100.0,90.78,9.22,17968738
111562.0,13203.1,358,1.84,13095.0,13105.0,13611.0,13621.0,-,-,-,-,< 23.6%,S SL,SL,-,BEAR,S SL,BULL,SL,CONF,None,NO,284.61,414.42,887.5,,15975751000,318.0,18100.0,12208.1,0.45,-196.6,0.03,0.08,-67.16,BNT,MANUFACTURE,1210000,1098438.0,111562.0,100.0,90.78,9.22,11156200
9024026.98,559.0,143653,,476.1,486.1,535.0,545.0,-,-,S SL,S SL,< 38.2%,BY,BY,-,BULL,S BY,S BULL,S BY,CONF,None,NO,12.65,25.46,58.26,,25533363063,118447.0,668.0,446.3,2.68,-29.21,-0.06,-0.15,-19.14,GCIL,MANUFACTURE,45676857,36652830.02,9024026.98,100.0,80.24,19.76,902402698
11224597.99,1192.0,41444,0.0,1170.0,1180.0,1205.0,1215.0,-,-,-,-,< 23.6%,S SL,SL,-,BEAR,S SL,-,SL,CONF,None,NO,105.06,155.04,321.87,,31856477736,31261.0,1749.0,1136.0,2.1,26.35,0.15,0.18,45.24,HDL,MANUFACTURE,26725233,15500635.01,11224597.99,100.0,58.0,42.0,1122459799
5597298.0,875.0,88723,,792.5,802.5,881.9,891.9,-,-,-,-,< 50%,BY,BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,24.36,51.33,99.95,,40687500000,108620.0,1083.0,556.0,1.71,9.7,0.04,0.06,90.17,SARBTM,MANUFACTURE,46500000,40902702.0,5597298.0,100.0,87.96,12.04,559729800
50270000.0,546.1,126992,0.94,510.1,520.1,543.4,553.4,-,-,-,-,< 23.6%,S SL,SL,-,BEAR,S SL,BEAR,SL,CONF,None,NO,24.75,59.43,121.34,,27452447000,107782.0,779.9,459.0,2.75,2.08,0.01,0.02,262.27,SHIVM,MANUFACTURE,50270000,0.0,50270000.0,100.0,0.0,100.0,5027000000
11557396.0,513.0,199261,,470.0,480.0,510.0,520.0,-,-,-,-,< 38.2%,BY,BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,13.11,27.55,56.75,,15775006500,192706.0,624.0,406.1,,-7.94,-0.04,-0.08,-64.61,SONA,MANUFACTURE,30750500,19193104.0,11557396.0,100.0,62.42,37.58,1155739600
138150.0,46002.1,65,0.56,46495.0,46505.0,47933.0,47943.0,-,-,-,-,< 38.2%,S SL,BY,-,BEAR,S SL,-,BY,CONF,None,NO,607.41,815.82,1539.98,,42367934100,51.0,56805.8,38400.0,3.43,2181.98,0.27,0.44,21.08,UNL,MANUFACTURE,921000,782850.0,138150.0,100.0,85.0,15.0,13815000
15340910.08,895.0,16367,0.86,872.0,882.0,899.0,909.0,-,-,-,-,< 23.6%,BY,SL,-,BEAR,S SL,BULL,SL,CONF,None,NO,36.91,105.49,289.98,,13730114450.0,28448.0,1360.0,760.0,8.67,0.06,0.16,103.26,CGH,HOTELS,15340910,-0.08,15340910.08,100.0,-0.0,100.0,1534091008,
1607040.0,903.1,11023,,885.4,895.4,922.0,932.0,-,-,-,-,< 50%,S SL,BY,-,BEAR,S SL,BEAR,BY,CONF,None,Breakout Down,22.3,53.39,105.8,,15117894000.0,12773.0,1168.5,559.0,-12.54,-0.03,-0.12,-72.01,CITY,HOTELS,16740000,15132960.0,1607040.0,100.0,90.4,9.6,160704000,
1051995.22,1230.6,16546,,1185.0,1195.0,1259.9,1269.9,-,-,-,S BY,< 61.8%,S SL,BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,28.05,69.97,173.1,,7338919375.2,24197.0,1381.0,735.0,1.58,0.03,0.04,777.78,KDL,HOTELS,5963692,4911696.78,1051995.22,100.0,82.36,17.64,105199522,
3553484.76,968.8,3824,0.96,946.6,956.6,995.0,1005.0,-,-,-,-,< 50%,BY,BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,15.34,27.01,61.22,,11475386591.2,13225.0,1205.0,704.0,5.12,0.02,0.03,189.19,OHL,HOTELS,11844949,8291464.24,3553484.76,100.0,70.0,30.0,355348476,0.54
28797164.48,498.0,32645,6.39,481.2,491.2,503.0,513.0,-,-,-,-,< 23.6%,BY,BY,-,BEAR,S SL,BEAR,BY,CONF,None,NO,9.4,15.09,34.45,,46261251342.0,45623.0,636.5,417.0,6.5,0.21,0.27,76.66,SHL,HOTELS,92894079,64096914.52,28797164.48,100.0,69.0,31.0,2879716448,6.34
8437116.69,1114.0,3839,50.47,1107.0,1117.0,1144.8,1154.8,-,-,-,BY,< 38.2%,S SL,SL,-,BEAR,S SL,S BEAR,SL,CONF,None,NO,19.56,29.93,70.27,,21858019028.0,4638.0,1538.0,695.1,19.04,0.12,0.18,58.51,TRH,HOTELS,19621202,11184085.31,8437116.69,100.0,57.0,43.0,843711669,1.35
10342370.61,2273.0,81649,1.77,2201.0,2211.0,2415.0,2425.0,-,SL,-,-,> 61.8%,S SL,S BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,34.15,77.87,187.19,,23508209283,148756.0,2420.0,627.0,0.51,40.51,0.15,0.16,56.11,CHDC,INVESTMENT,10342371,0.39,10342370.61,100.0,0.0,100.0,1034237061.0
12115350.0,1975.0,7734,1.25,1940.0,1950.0,2031.9,2041.9,-,-,-,-,< 23.6%,S SL,SL,-,BEAR,S SL,S BEAR,SL,CONF,None,Breakout Down,83.52,140.05,291.73,,119639081250,11787.0,2700.0,1887.0,0.75,19.2,0.0,0.04,102.86,CIT,INVESTMENT,60576750,48461400.0,12115350.0,100.0,80.0,20.0,1211535000.0
544488.08,1320.0,9936,,1323.0,1333.0,1447.0,1457.0,-,-,-,-,> 61.8%,S SL,BY,-,BULL,S BY,BULL,S BY,CONF,None,NO,30.09,75.33,129.93,,7333921320,21150.0,1453.5,728.0,0.64,3.38,0.03,0.03,390.57,ENL,INVESTMENT,5556001,5011512.92,544488.08,100.0,90.2,9.8,54448808.0
3474900.0,1496.0,27773,,1460.0,1470.0,1553.9,1563.9,-,-,-,-,< 61.8%,S SL,BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,37.74,78.59,226.93,,42357744000,67161.0,1816.0,805.9,0.7,1.05,0.04,0.05,1419.31,HATHY,INVESTMENT,28314000,24839100.0,3474900.0,100.0,87.73,12.27,347490000.0
49119626.0,297.9,917060,0.16,250.1,260.1,284.0,294.0,-,SL,SL,S SL,< 61.8%,S SL,BY,-,BULL,S BY,S BULL,S BY,CONF,None,Breakout Up,8.83,17.33,36.95,,73163682927,553373.0,360.0,158.1,1.77,4.25,0.04,0.05,70.05,HIDCL,INVESTMENT,245598130,196478504.0,49119626.0,100.0,80.0,20.0,4911962600.0
86400000.0,296.2,544662,0.74,258.0,268.0,292.0,302.0,-,-,SL,-,< 50%,BY,BY,-,BULL,S BY,S BULL,S BY,CONF,None,Breakout Up,8.7,22.92,32.15,,63979200000,529514.0,366.6,188.1,1.42,5.94,0.04,0.05,49.83,NIFRA,INVESTMENT,216000000,129600000.0,86400000.0,100.0,60.0,40.0,8640000000.0
12232117.0,1493.0,153499,0.62,1430.0,1440.0,1534.9,1544.9,-,SL,-,-,> 61.8%,BY,S BY,-,BULL,S BY,S BEAR,S BY,CONF,None,NO,20.5,43.57,109.07,,18262550681,239303.0,1539.9,478.3,0.35,8.37,0.05,0.05,178.44,NRN,INVESTMENT,12232117,0.0,12232117.0,100.0,0.0,100.0,1223211700.0
1575000.0,1950.0,5827,0.84,1871.0,1881.0,2085.0,2095.0,-,-,-,-,< 61.8%,S SL,S BY,-,BEAR,S SL,S BEAR,S BY,CONF,None,NO,28.7,53.35,130.45,1,10237500000.0,22181.0,2842.3,393.9,0.27,4.09,0.01,0.03,476.62,CORBL,DEVBANK,5250000,3675000.0,1575000.0,100.0,70.0,30.0,157500000.0
6123503.08,744.0,28542,1.0,730.5,740.5,816.0,826.0,-,-,-,-,> 61.8%,BY,S BY,-,BULL,S BY,S BEAR,S BY,CONF,None,NO,30.35,49.28,100.33,0,9297727080.0,64195.0,838.2,334.5,1.2,-14.49,0.0,0.03,-51.35,EDBL,DEVBANK,12496945,6373441.92,6123503.08,100.0,51.0,49.0,612350308.0
27834534.92,396.0,21240,2.24,384.0,394.0,395.5,405.5,-,-,-,-,< 23.6%,BY,SL,-,BEAR,S SL,S BEAR,SL,CONF,None,Breakout Down,9.16,19.11,35.59,10,22494848508.0,46013.0,531.4,350.0,2.53,19.34,0.01,0.14,20.48,GBBL,DEVBANK,56805173,28970638.08,27834534.92,100.0,51.0,49.0,2783453492.0
2639737.8,1355.1,72002,0.42,1327.0,1337.0,1492.3,1502.3,-,-,-,-,< 61.8%,S SL,S BY,-,BEAR,S SL,S BULL,S BY,CONF,None,NO,19.57,50.65,126.36,3,7300221822.0,34780.0,2001.4,340.1,0.3,3.24,0.01,0.06,418.14,GRDBL,DEVBANK,5387220,2747482.2,2639737.8,100.0,51.0,49.0,263973780.0
21539350.86,354.1,22326,-0.26,346.0,356.0,355.0,365.0,-,-,-,-,< 38.2%,S SL,SL,-,BEAR,S SL,BEAR,SL,CONF,None,NO,7.61,17.03,32.76,3,15565477871.9,56398.0,445.0,275.0,1.92,11.38,0.01,0.06,31.11,JBBL,DEVBANK,43957859,22418508.14,21539350.86,100.0,51.0,49.0,2153935086.0
17203146.73,446.0,27317,0.68,435.0,445.0,450.5,460.5,-,-,-,S BY,< 38.2%,S SL,BY,-,BEAR,S SL,S BEAR,SL,CONF,None,NO,10.16,22.18,44.37,8,15658374498.0,45784.0,564.8,330.0,1.04,18.37,0.01,0.13,24.28,KSBBL,DEVBANK,35108463,17905316.27,17203146.73,100.0,51.0,49.0,1720314673.0
17238924.24,450.9,11534,1.28,432.7,442.7,459.9,469.9,-,-,-,-,< 38.2%,BY,SL,-,BEAR,S SL,BULL,SL,CONF,None,NO,10.04,22.65,43.08,7,15863328430.2,34952.0,560.0,361.0,1.89,8.15,0.01,0.08,55.34,LBBL,DEVBANK,35181478,17942553.76,17238924.24,100.0,51.0,49.0,1723892424.0
5445990.23,707.0,32012,0.79,690.0,700.0,735.0,745.0,-,-,-,-,< 61.8%,BY,BY,-,BULL,S BY,S BULL,S BY,CONF,None,NO,15.99,32.99,69.94,6,7857786062.0,63133.0,843.5,375.0,1.41,4.25,0.02,0.09,166.24,MDB,DEVBANK,11114266,5668275.77,5445990.23,100.0,51.0,49.0,544599023.0
20439460.93,393.0,22408,2.02,382.0,392.0,404.7,414.7,SL,-,-,-,< 38.2%,S SL,BY,-,BEAR,S SL,BULL,BY,CONF,None,NO,11.0,21.87,44.86,7,16393282098.0,69935.0,498.0,308.0,1.63,13.78,0.01,0.07,28.51,MLBL,DEVBANK,41713186,21273725.07,20439460.93,100.0,51.0,49.0,2043946093.0
34531463.48,371.0,21213,1.2,361.0,371.0,372.0,382.0,-,-,-,-,< 23.6%,BY,SL,-,BEAR,S SL,-,SL,CONF,None,NO,19.07,42.59,89.16,11,26145250754.0,42501.0,482.0,332.4,2.77,14.28,0.01,0.13,25.98,MNBBL,DEVBANK,70472374,35940910.52,34531463.48,100.0,51.0,49.0,3453146348.0
761156.04,1509.0,65208,0.51,1376.1,1386.1,1570.0,1580.0,-,SL,-,-,> 61.8%,BY,S BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,28.69,33.34,68.81,0,3960636084.0,110303.0,1575.0,392.0,,-3.97,0.09,1.0,-379.87,NABBC,DEVBANK,2624676,1863519.96,761156.04,100.0,71.0,29.0,76115604.0
16811183.49,415.2,39408,0.54,395.2,405.2,417.0,427.0,-,-,-,-,< 50%,S SL,BY,-,BEAR,S SL,BEAR,BY,CONF,None,NO,9.74,19.23,41.8,7,14244904977.6,70214.0,497.0,285.0,1.27,11.46,0.01,0.13,36.24,SADBL,DEVBANK,34308538,17497354.51,16811183.49,100.0,51.0,49.0,1681118349.0
3608513.71,1127.1,36894,0.49,1082.8,1092.8,1179.0,1189.0,-,BY,-,-,< 61.8%,S SL,SL,-,BEAR,S SL,S BULL,BY,CONF,None,NO,17.63,44.37,88.41,0,9403828106.4,51064.0,1622.7,242.1,0.53,-7.17,0.01,0.19,-157.16,SAPDBL,DEVBANK,8343384,4734870.29,3608513.71,100.0,56.75,43.25,360851371.0
23195085.65,426.0,20113,-0.21,408.6,418.6,431.5,441.5,-,-,-,-,< 23.6%,BY,SL,-,BEAR,S SL,BULL,SL,CONF,None,NO,10.77,21.23,44.78,10,20165523234.0,52975.0,625.0,353.0,2.59,13.57,0.01,0.1,31.39,SHINE,DEVBANK,47336909,24141823.35,23195085.65,100.0,51.0,49.0,2319508565.0
2731534.73,1040.1,38649,0.65,975.0,985.0,1083.7,1093.7,-,-,-,-,< 61.8%,BY,BY,-,BEAR,S SL,S BULL,S BY,CONF,None,NO,14.96,31.05,71.16,0,5798100896.1,42367.0,1349.6,300.0,1.16,17.47,0.01,0.17,59.52,SINDU,DEVBANK,5574561,2843026.27,2731534.73,100.0,51.0,49.0,273153473.0
72379095.85,212.0,67769,1.01,204.0,214.0,215.9,225.9,-,-,-,-,< 38.2%,S SL,BY,-,BEAR,S SL,BULL,BY,CONF,None,NO,10.03,22.56,47.57,7,31315037492.0,68307.0,296.0,152.5,2.73,8.96,0.01,0.06,23.65,CZBIL,BANKING,147712441,75333345.15,72379095.85,100.0,51.0,49.0,7237909585.0
52775517.36,621.0,33674,0.95,595.0,605.0,612.7,622.7,-,-,-,-,< 38.2%,BY,BY,-,BEAR,S SL,S BULL,BY,CONF,None,NO,46.63,96.78,214.72,13,80386549740.0,38055.0,790.0,487.3,3.31,32.06,0.01,0.15,19.37,EBL,BANKING,129446940,76671422.64,52775517.36,100.0,59.23,40.77,5277551736.0
176308400.53,220.6,69285,0.99,211.0,221.0,220.0,230.0,-,-,-,-,< 38.2%,BY,SL,-,BEAR,S SL,BULL,SL,CONF,None,NO,9.22,17.03,35.53,7,79700067943.6,144650.0,302.0,170.0,4.08,16.02,0.01,0.12,13.77,GBIME,BANKING,361287706,184979305.47,176308400.53,100.0,51.2,48.8,17630840053.0
32484923.45,238.0,34435,1.06,221.5,231.5,238.6,248.6,-,-,-,-,< 38.2%,BY,BY,-,BEAR,S SL,-,BY,CONF,None,NO,28.2,57.78,137.99,7,51542745128.0,64158.0,312.1,167.1,8.03,14.03,0.01,0.08,16.97,HBL,BANKING,216566156,184081232.55,32484923.45,100.0,85.0,15.0,3248492345.0
128506730.66,209.0,235982,1.0,195.0,205.0,209.0,219.0,-,-,-,-,< 50%,BY,SL,-,BEAR,S SL,BULL,BY,CONF,None,NO,13.59,26.48,64.06,3,54812054506.0,370465.0,272.9,129.6,5.98,2.1,0.0,0.05,99.4,KBL,BANKING,262258634,133751903.34,128506730.66,100.0,51.0,49.0,12850673066.0
113501122.06,231.0,73554,1.21,217.0,227.0,233.0,243.0,-,-,SL,-,< 50%,BY,BY,-,BULL,S BY,BULL,S BY,CONF,None,Breakout Up,18.06,36.18,73.51,5,53562327357.0,168581.0,300.0,143.6,3.19,9.55,0.01,0.08,24.2,LSL,BANKING,231871547,118370424.94,113501122.06,100.0,51.05,48.95,11350112206.0
56944650.63,234.3,64615,1.42,223.0,233.0,231.0,241.0,-,-,-,-,< 50%,BY,SL,-,BEAR,SL,BEAR,-,CONF,None,NO,15.0,29.67,62.25,6,27228840153.9,96736.0,295.0,157.8,5.98,13.89,0.01,0.07,16.86,MBL,BANKING,116213573,59268922.37,56944650.63,100.0,51.0,49.0,5694465063.0
108227988.66,489.1,29781,1.05,480.1,490.1,498.8,508.8,-,-,-,-,< 23.6%,S SL,SL,-,BEAR,S SL,BEAR,SL,CONF,None,Breakout Down,68.86,135.35,295.74,11,132335773305.2,64014.0,700.0,419.0,2.25,23.98,0.01,0.12,20.4,NABIL,BANKING,270569972,162341983.34,108227988.66,100.0,60.0,40.0,10822798866.0
72000712.35,254.6,66376,-0.68,245.0,255.0,258.0,268.0,-,-,-,-,< 38.2%,S SL,SL,-,BEAR,S SL,S BEAR,SL,CONF,None,NO,12.37,31.26,57.93,0,37410982303.4,81884.0,337.5,195.1,4.71,6.27,0.0,0.04,40.57,NBL,BANKING,146940229,74939516.65,72000712.35,100.0,51.0,49.0,7200071235.0
73096077.92,374.0,58723,0.94,360.3,370.3,379.5,389.5,-,-,-,-,< 23.6%,S SL,SL,-,BULL,S BY,S BEAR,SL,CONF,None,NO,20.47,42.21,93.69,8,55791700206.0,69171.0,573.0,341.6,8.16,2.03,-0.0,-0.01,183.86,NICA,BANKING,149175669,76079591.08,73096077.92,100.0,51.0,49.0,7309607792.0
70134262.72,220.0,102277,0.68,206.0,216.0,221.0,231.0,-,-,-,-,< 50%,BY,BY,-,BULL,S BY,BEAR,BY,CONF,None,NO,37.74,71.58,147.59,7,75082909000.0,169739.0,295.0,147.4,5.0,16.6,0.01,0.1,13.25,NIMB,BANKING,341285950,271151687.28,70134262.72,100.0,79.45,20.55,7013426272.0
89996863.32,253.8,114153,0.25,240.4,250.4,254.0,264.0,-,-,-,-,< 61.8%,BY,BY,-,BEAR,S SL,S BULL,BY,CONF,None,NO,49.19,101.53,229.94,10,46614701858.4,94554.0,300.0,162.0,3.25,21.82,0.01,0.1,11.63,NMB,BANKING,183667068,93670204.68,89996863.32,100.0,51.0,49.0,8999686332.0
95072621.01,251.6,50333,-0.28,239.3,249.3,251.0,261.0,-,-,-,-,< 38.2%,S SL,BY,-,BEAR,S SL,BULL,BY,CONF,None,NO,10.47,22.69,46.58,12,48816880461.2,73601.0,329.0,186.0,3.56,19.28,0.01,0.11,13.05,PCBL,BANKING,194025757,98953135.99,95072621.01,100.0,51.0,49.0,9507262101.0
115358201.0,222.0,72991,1.3,208.0,218.0,223.0,233.0,-,-,-,-,< 50%,S SL,SL,-,BEAR,S SL,BEAR,-,CONF,None,NO,6.53,13.91,30.53,7,52264327800.0,164014.0,297.0,132.0,3.6,11.35,0.01,0.15,19.56,PRVU,BANKING,235424900,120066699.0,115358201.0,100.0,51.0,49.0,11535820100.0
66549474.51,305.5,59128,1.23,293.0,303.0,307.0,317.0,-,-,-,SL,< 50%,S SL,BY,-,BULL,S BY,BULL,BY,CONF,None,NO,19.95,49.46,79.66,9,41491560097.0,112135.0,382.0,228.0,4.81,17.56,0.01,0.12,17.4,SANIMA,BANKING,135815254,69265779.49,66549474.51,100.0,51.0,49.0,6654947451.0
